,Time,Instruction,Output Channel,Page,Channel No
0,2,memri,"[[0], [], [], [], [0, 0, 748724967062636900, 32000, 1], [0, 0, 748724967062636900, 32000, 1], [0, 0, 748724967062636900, 32000, 1], [0, 0, 748724967062636900, 32000, 1]]",1,-1
1,4,regwi,"[[0], [], [], [], [0, 0, 748724967062636900, 32000, 1], [0, 0, 748724967062636900, 32000, 1], [0, 0, 748724967062636900, 32000, 1], [0, 0, 748724967062636900, 32000, 1]]",1,-1
2,6,regwi,"[[0], [], [], [], [0, 0, 748724967062636900, 32000, 1], [0, 0, 748724967062636900, 32000, 1], [0, 0, 748724967062636900, 32000, 1], [0, 0, 748724967062636900, 32000, 1]]",1,-1
3,8,regwi,"[[0], [], [], [], [0, 0, 748724967062636900, 32000, 1], [0, 0, 748724967062636900, 32000, 1], [0, 0, 748724967062636900, 32000, 1], [0, 0, 748724967062636900, 32000, 1]]",1,-1
4,10,bitwi,"[[0], [], [], [], [0, 0, 748724967062636900, 32000, 1], [0, 0, 748724967062636900, 32000, 1], [0, 0, 748724967062636900, 32000, 1], [0, 0, 748724967062636900, 32000, 1]]",1,-1
5,12,bitw,"[[0], [], [], [], [0, 0, 748724967062636900, 32000, 1], [0, 0, 748724967062636900, 32000, 1], [0, 0, 748724967062636900, 32000, 1], [0, 0, 748724967062636900, 32000, 1]]",1,-1
6,14,regwi,"[[0], [], [], [], [0, 0, 748724967062636900, 32000, 1], [0, 0, 748724967062636900, 32000, 1], [0, 0, 748724967062636900, 32000, 1], [0, 0, 748724967062636900, 32000, 1]]",1,-1
7,16,synci,"[[0], [], [], [], [0, 0, 748724967062636900, 32000, 1], [0, 0, 748724967062636900, 32000, 1], [0, 0, 748724967062636900, 32000, 1], [0, 0, 748724967062636900, 32000, 1]]",0,-1
8,18,regwi,"[[0], [], [], [], [0, 0, 748724967062636900, 32000, 1], [0, 0, 748724967062636900, 32000, 1], [0, 0, 748724967062636900, 32000, 1], [0, 0, 748724967062636900, 32000, 1]]",0,-1
9,20,seti,"[[0], [], [], [], [0, 0, 748724967062636900, 32000, 1], [0, 0, 748724967062636900, 32000, 1], [0, 0, 748724967062636900, 32000, 1], [0, 0, 748724967062636900, 32000, 1]]",0,-1
10,22,seti,"[[0], [], [], [], [0, 0, 748724967062636900, 32000, 1], [0, 0, 748724967062636900, 32000, 1], [0, 0, 748724967062636900, 32000, 1], [0, 0, 748724967062636900, 32000, 1]]",0,-1
11,24,set,"[[0], [], [], [], [0, 0, 748724967062636900, 32000, 1], [0, 0, 748724967062636900, 32000, 1], [0, 0, 748724967062636900, 32000, 1], [0, 0, 748724967062636900, 32000, 1]]",1,-1
12,26,set,"[[0], [], [], [], [0, 0, 748724967062636900, 32000, 1], [0, 0, 748724967062636900, 32000, 1], [0, 0, 748724967062636900, 32000, 1], [0, 0, 748724967062636900, 32000, 1]]",1,-1
13,28,set,"[[0], [], [], [], [0, 0, 748724967062636900, 32000, 1], [0, 0, 748724967062636900, 32000, 1], [0, 0, 748724967062636900, 32000, 1], [0, 0, 748724967062636900, 32000, 1]]",1,-1
14,30,set,"[[0], [], [], [], [0, 0, 748724967062636900, 32000, 1], [0, 0, 748724967062636900, 32000, 1], [0, 0, 748724967062636900, 32000, 1], [0, 0, 748724967062636900, 32000, 1]]",1,-1
15,32,synci,"[[0], [], [], [], [0, 0, 748724967062636900, 32000, 1], [0, 0, 748724967062636900, 32000, 1], [0, 0, 748724967062636900, 32000, 1], [0, 0, 748724967062636900, 32000, 1]]",0,-1
16,34,regwi,"[[0], [], [], [], [0, 0, 748724967062636900, 32000, 1], [0, 0, 748724967062636900, 32000, 1], [0, 0, 748724967062636900, 32000, 1], [0, 0, 748724967062636900, 32000, 1]]",0,-1
17,36,seti,"[[0], [], [], [], [0, 0, 748724967062636900, 32000, 1], [0, 0, 748724967062636900, 32000, 1], [0, 0, 748724967062636900, 32000, 1], [0, 0, 748724967062636900, 32000, 1]]",0,-1
18,38,seti,"[[0], [], [], [], [0, 0, 748724967062636900, 32000, 1], [0, 0, 748724967062636900, 32000, 1], [0, 0, 748724967062636900, 32000, 1], [0, 0, 748724967062636900, 32000, 1]]",0,-1
19,40,end,"[[0], [], [], [], [0, 0, 748724967062636900, 32000, 1], [0, 0, 748724967062636900, 32000, 1], [0, 0, 748724967062636900, 32000, 1], [0, 0, 748724967062636900, 32000, 1]]",0,-1
