time,id,page,state,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31
0,0,3,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69905067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,3,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69905067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,3,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69905067,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0
6,3,3,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69905067,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0
8,4,3,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69905067,0,0,5000,524438,0,0,0,0,0,0,0,0,0,0,0
12,6,0,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,7,0,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,8,0,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49152
20,10,0,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,3,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69905067,0,0,5000,524438,0,0,0,0,0,0,0,0,0,0,0
26,13,3,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69905067,0,0,5000,524438,0,0,0,0,0,0,0,0,0,0,0
28,14,3,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69905067,0,0,5000,524438,0,0,0,0,0,0,0,0,0,0,0
34,17,0,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,19,0,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,8,0,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49152
44,10,0,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,12,3,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69905067,0,0,5000,524438,0,0,0,0,0,0,0,0,0,0,0
50,13,3,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69905067,0,0,5000,524438,0,0,0,0,0,0,0,0,0,0,0
52,14,3,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69905067,0,0,5000,524438,0,0,0,0,0,0,0,0,0,0,0
58,17,0,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,19,0,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,8,0,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49152
68,10,0,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,12,3,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69905067,0,0,5000,524438,0,0,0,0,0,0,0,0,0,0,0
74,13,3,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69905067,0,0,5000,524438,0,0,0,0,0,0,0,0,0,0,0
