,Time,Instruction,Output Channel,Page,Channel No
0,2,regwi,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",0,-1
1,4,regwi,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",0,-1
2,6,regwi,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",0,-1
3,8,regwi,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",0,-1
4,10,regwi,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",0,-1
5,12,bitwi,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",0,-1
6,14,bitw,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",0,-1
7,16,regwi,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",0,-1
8,18,regwi,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",1,-1
9,20,seti,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",1,-1
10,22,synci,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",0,-1
11,24,regwi,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",1,-1
12,26,regwi,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",0,-1
13,28,set,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",0,-1
14,30,mathi,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",0,-1
15,32,memw,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",0,-1
16,34,mathi,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",0,-1
17,36,loopnz,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",1,-1
18,38,set,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",0,-1
19,40,mathi,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",0,-1
20,42,memw,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",0,-1
21,44,mathi,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",0,-1
22,46,loopnz,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",1,-1
23,48,set,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",0,-1
24,50,mathi,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",0,-1
25,52,memw,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",0,-1
26,54,mathi,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",0,-1
27,56,loopnz,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",1,-1
28,58,set,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",0,-1
29,60,mathi,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",0,-1
30,62,memw,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",0,-1
31,64,mathi,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",0,-1
32,66,loopnz,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",1,-1
33,68,set,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",0,-1
34,70,mathi,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",0,-1
35,72,memw,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",0,-1
36,74,mathi,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",0,-1
37,76,loopnz,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",1,-1
38,78,set,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",0,-1
39,80,mathi,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",0,-1
40,82,memw,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",0,-1
41,84,mathi,"[[0], [750, 0, 0, 14200, 1], [], [], [], [], [], []]",0,-1
